---                                                | Device type                                                  | 1000-00h| 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192
258th receive PDO Mapping                          | 3rd Output Object to be mapped                               | 1701-03h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
258th receive PDO Mapping                          | 4th Output Object to be mapped                               | 1701-04h| 0x60fe0120 | 0x60fe0120 | 0x60fe0120 | 0x60fe0120 | 0x60fe0120 | 0x60fe0120
259th receive PDO Mapping                          | SubIndex 000                                                 | 1702-00h| 0x07       | 0x07       | 0x07       | 0x07       | 0x07       | 0x07
259th receive PDO Mapping                          | 1st Output Object to be mapped                               | 1702-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
259th receive PDO Mapping                          | 2nd Output Object to be mapped                               | 1702-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
259th receive PDO Mapping                          | 3rd Output Object to be mapped                               | 1702-03h| 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020
259th receive PDO Mapping                          | 4th Output Object to be mapped                               | 1702-04h| 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010
259th receive PDO Mapping                          | 5th Output Object to be mapped                               | 1702-05h| 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008
259th receive PDO Mapping                          | 6th Output Object to be mapped                               | 1702-06h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
259th receive PDO Mapping                          | 7th Output Object to be mapped                               | 1702-07h| 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020
260th receive PDO Mapping                          | SubIndex 000                                                 | 1703-00h| 0x07       | 0x07       | 0x07       | 0x07       | 0x07       | 0x07
260th receive PDO Mapping                          | 1st Output Object to be mapped                               | 1703-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
260th receive PDO Mapping                          | 2nd Output Object to be mapped                               | 1703-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
260th receive PDO Mapping                          | 3rd Output Object to be mapped                               | 1703-03h| 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020
260th receive PDO Mapping                          | 4th Output Object to be mapped                               | 1703-04h| 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008
260th receive PDO Mapping                          | 5th Output Object to be mapped                               | 1703-05h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
260th receive PDO Mapping                          | 6th Output Object to be mapped                               | 1703-06h| 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010
260th receive PDO Mapping                          | 7th Output Object to be mapped                               | 1703-07h| 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010
261th receive PDO Mapping                          | SubIndex 000                                                 | 1704-00h| 0x09       | 0x09       | 0x09       | 0x09       | 0x09       | 0x09
261th receive PDO Mapping                          | 1st Output Object to be mapped                               | 1704-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
261th receive PDO Mapping                          | 2nd Output Object to be mapped                               | 1704-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
261th receive PDO Mapping                          | 3rd Output Object to be mapped                               | 1704-03h| 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020
261th receive PDO Mapping                          | 4th Output Object to be mapped                               | 1704-04h| 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010 | 0x60710010
261th receive PDO Mapping                          | 5th Output Object to be mapped                               | 1704-05h| 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008
261th receive PDO Mapping                          | 6th Output Object to be mapped                               | 1704-06h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
261th receive PDO Mapping                          | 7th Output Object to be mapped                               | 1704-07h| 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020 | 0x607f0020
261th receive PDO Mapping                          | 8th Output Object to be mapped                               | 1704-08h| 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010
261th receive PDO Mapping                          | 9th Output Object to be mapped                               | 1704-09h| 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010
262th receive PDO Mapping                          | SubIndex 000                                                 | 1705-00h| 0x08       | 0x08       | 0x08       | 0x08       | 0x08       | 0x08
262th receive PDO Mapping                          | 1st Output Object to be mapped                               | 1705-01h| 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010 | 0x60400010
262th receive PDO Mapping                          | 2nd Output Object to be mapped                               | 1705-02h| 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020 | 0x607a0020
262th receive PDO Mapping                          | 3rd Output Object to be mapped                               | 1705-03h| 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020 | 0x60ff0020
262th receive PDO Mapping                          | 4th Output Object to be mapped                               | 1705-04h| 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008 | 0x60600008
262th receive PDO Mapping                          | 5th Output Object to be mapped                               | 1705-05h| 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010 | 0x60b80010
262th receive PDO Mapping                          | 6th Output Object to be mapped                               | 1705-06h| 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010 | 0x60e00010
262th receive PDO Mapping                          | 7th Output Object to be mapped                               | 1705-07h| 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010 | 0x60e10010
262th receive PDO Mapping                          | 8th Output Object to be mapped                               | 1705-08h| 0x60b20010 | 0x60b20010 | 0x60b20010 | 0x60b20010 | 0x60b20010 | 0x60b20010
1st transmit PDO Mapping                           | SubIndex 000                                                 | 1A00-00h| 0x07       | 0x07       | 0x07       | 0x07       | 0x07       | 0x07
1st transmit PDO Mapping                           | 1st Input Object to be mapped                                | 1A00-01h| 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010
1st transmit PDO Mapping                           | 2nd Input Object to be mapped                                | 1A00-02h| 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020
1st transmit PDO Mapping                           | 3rd Input Object to be mapped                                | 1A00-03h| 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010
1st transmit PDO Mapping                           | 4th Input Object to be mapped                                | 1A00-04h| 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020
1st transmit PDO Mapping                           | 5th Input Object to be mapped                                | 1A00-05h| 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020
1st transmit PDO Mapping                           | 6th Input Object to be mapped                                | 1A00-06h| 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010
1st transmit PDO Mapping                           | 7th Input Object to be mapped                                | 1A00-07h| 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020
1st transmit PDO Mapping                           | 8th Input Object to be mapped                                | 1A00-08h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1a00', '0x8']' returned non-zero exit status 1.
1st transmit PDO Mapping                           | 9th Input Object to be mapped                                | 1A00-09h Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1a00', '0x9']' returned non-zero exit status 1.
1st transmit PDO Mapping                           | 10th Input Object to be mapped                               | 1A00-0Ah Command '['ethercat', '-p', '0', 'upload', '--type', 'uint32', '0x1a00', '0xa']' returned non-zero exit status 1.
258th transmit PDO Mapping                         | SubIndex 000                                                 | 1B01-00h| 0x09       | 0x09       | 0x09       | 0x09       | 0x09       | 0x09
258th transmit PDO Mapping                         | 1st Input Object to be mapped                                | 1B01-01h| 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010
258th transmit PDO Mapping                         | 2nd Input Object to be mapped                                | 1B01-02h| 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010
258th transmit PDO Mapping                         | 3rd Input Object to be mapped                                | 1B01-03h| 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020
258th transmit PDO Mapping                         | 4th Input Object to be mapped                                | 1B01-04h| 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010
258th transmit PDO Mapping                         | 5th Input Object to be mapped                                | 1B01-05h| 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020
258th transmit PDO Mapping                         | 6th Input Object to be mapped                                | 1B01-06h| 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010
258th transmit PDO Mapping                         | 7th Input Object to be mapped                                | 1B01-07h| 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020
258th transmit PDO Mapping                         | 8th Input Object to be mapped                                | 1B01-08h| 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020
258th transmit PDO Mapping                         | 9th Input Object to be mapped                                | 1B01-09h| 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020
259th transmit PDO Mapping                         | SubIndex 000                                                 | 1B02-00h| 0x09       | 0x09       | 0x09       | 0x09       | 0x09       | 0x09
259th transmit PDO Mapping                         | 1st Input Object to be mapped                                | 1B02-01h| 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010
259th transmit PDO Mapping                         | 2nd Input Object to be mapped                                | 1B02-02h| 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010
259th transmit PDO Mapping                         | 3rd Input Object to be mapped                                | 1B02-03h| 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020
259th transmit PDO Mapping                         | 4th Input Object to be mapped                                | 1B02-04h| 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010
259th transmit PDO Mapping                         | 5th Input Object to be mapped                                | 1B02-05h| 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008
259th transmit PDO Mapping                         | 6th Input Object to be mapped                                | 1B02-06h| 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010
259th transmit PDO Mapping                         | 7th Input Object to be mapped                                | 1B02-07h| 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020
259th transmit PDO Mapping                         | 8th Input Object to be mapped                                | 1B02-08h| 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020
259th transmit PDO Mapping                         | 9th Input Object to be mapped                                | 1B02-09h| 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020
260th transmit PDO Mapping                         | SubIndex 000                                                 | 1B03-00h| 0x0a       | 0x0a       | 0x0a       | 0x0a       | 0x0a       | 0x0a
260th transmit PDO Mapping                         | 1st Input Object to be mapped                                | 1B03-01h| 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010
260th transmit PDO Mapping                         | 2nd Input Object to be mapped                                | 1B03-02h| 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010
260th transmit PDO Mapping                         | 3rd Input Object to be mapped                                | 1B03-03h| 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020
260th transmit PDO Mapping                         | 4th Input Object to be mapped                                | 1B03-04h| 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010
260th transmit PDO Mapping                         | 5th Input Object to be mapped                                | 1B03-05h| 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020
260th transmit PDO Mapping                         | 6th Input Object to be mapped                                | 1B03-06h| 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008
260th transmit PDO Mapping                         | 7th Input Object to be mapped                                | 1B03-07h| 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010
260th transmit PDO Mapping                         | 8th Input Object to be mapped                                | 1B03-08h| 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020
260th transmit PDO Mapping                         | 9th Input Object to be mapped                                | 1B03-09h| 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020
260th transmit PDO Mapping                         | 10th Input Object to be mapped                               | 1B03-0Ah| 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020 | 0x60fd0020
261th transmit PDO Mapping                         | SubIndex 000                                                 | 1B04-00h| 0x0a       | 0x0a       | 0x0a       | 0x0a       | 0x0a       | 0x0a
261th transmit PDO Mapping                         | 1st Input Object to be mapped                                | 1B04-01h| 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010 | 0x603f0010
261th transmit PDO Mapping                         | 2nd Input Object to be mapped                                | 1B04-02h| 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010 | 0x60410010
261th transmit PDO Mapping                         | 3rd Input Object to be mapped                                | 1B04-03h| 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020 | 0x60640020
261th transmit PDO Mapping                         | 4th Input Object to be mapped                                | 1B04-04h| 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010 | 0x60770010
261th transmit PDO Mapping                         | 5th Input Object to be mapped                                | 1B04-05h| 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008 | 0x60610008
261th transmit PDO Mapping                         | 6th Input Object to be mapped                                | 1B04-06h| 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020 | 0x60f40020
261th transmit PDO Mapping                         | 7th Input Object to be mapped                                | 1B04-07h| 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010 | 0x60b90010
261th transmit PDO Mapping                         | 8th Input Object to be mapped                                | 1B04-08h| 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020 | 0x60ba0020
261th transmit PDO Mapping                         | 9th Input Object to be mapped                                | 1B04-09h| 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020 | 0x60bc0020
261th transmit PDO Mapping                         | 10th Input Object to be mapped                               | 1B04-0Ah| 0x606c0020 | 0x606c0020 | 0x606c0020 | 0x606c0020 | 0x606c0020 | 0x606c0020
SM output parameter                                | SubIndex 000                                                 | 1C32-00h| 0x20       | 0x20       | 0x20       | 0x20       | 0x20       | 0x20
SM output parameter                                | Sync mode                                                    | 1C32-01h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
SM output parameter                                | Cycle time                                                   | 1C32-02h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM output parameter                                | Sync modes supported                                         | 1C32-04h| 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004
SM output parameter                                | Minimum cycle time                                           | 1C32-05h| 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848
SM output parameter                                | Calc and copy time                                           | 1C32-06h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM output parameter                                | Delay time                                                   | 1C32-09h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM output parameter                                | Sync error                                                   | 1C32-20h| 0x00       | 0x00       | 0x00       | 0x00       | 0x00       | 0x00
SM input parameter                                 | SubIndex 000                                                 | 1C33-00h| 0x20       | 0x20       | 0x20       | 0x20       | 0x20       | 0x20
SM input parameter                                 | Sync mode                                                    | 1C33-01h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
SM input parameter                                 | Cycle time                                                   | 1C33-02h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM input parameter                                 | Sync modes supported                                         | 1C33-04h| 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004
SM input parameter                                 | Minimum cycle time                                           | 1C33-05h| 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848 | 0x0001e848
SM input parameter                                 | Calc and copy time                                           | 1C33-06h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM input parameter                                 | Delay time                                                   | 1C33-09h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
SM input parameter                                 | Sync error                                                   | 1C33-20h| 0x00       | 0x00       | 0x00       | 0x00       | 0x00       | 0x00
RxPDO assign                                       | SubIndex 000                                                 | 1C12-00h| 0x01       | 0x01       | 0x01       | 0x01       | 0x01       | 0x01
TxPDO assign                                       | SubIndex 000                                                 | 1C13-00h| 0x01       | 0x01       | 0x01       | 0x01       | 0x01       | 0x01
Servo Motor Parameters                             | SubIndex 000                                                 | 2000-00h| 0x09       | 0x09       | 0x09       | 0x09       | 0x09       | 0x09
Servo Motor Parameters                             | Motor SN                                                     | 2000-01h| 0x3715     | 0x3715     | 0x3715     | 0x3715     | 0x3715     | 0x3715
Servo Motor Parameters                             | Customized motor SN                                          | 2000-03h| 0x00000000 | 0x00000000 | 0x00001108 | 0x00001112 | 0x00001112 | 0x00001112
Servo Motor Parameters                             | Encpder Version                                              | 2000-05h| 0x5a53     | 0x5a55     | 0x5a55     | 0x5a55     | 0x5a55     | 0x5a55
Servo Motor Parameters                             | Bus motor SN                                                 | 2000-06h| 0xffff     | 0x2c90     | 0x2c8c     | 0x2b5d     | 0x2b5d     | 0x2b5d
Servo Drive Parameters                             | SubIndex 000                                                 | 2001-00h| 0x03       | 0x03       | 0x03       | 0x03       | 0x03       | 0x03
Servo Drive Parameters                             | DSP Software Version                                         | 2001-01h| 0x0411     | 0x0411     | 0x0406     | 0x040b     | 0x040b     | 0x040b
Servo Drive Parameters                             | Fpga Software Version                                        | 2001-02h| 0x0488     | 0x0488     | 0x0488     | 0x0488     | 0x0488     | 0x0488
Servo Drive Parameters                             | Servo drive SN                                               | 2001-03h| 0x0005     | 0x0005     | 0x0003     | 0x0002     | 0x0002     | 0x0002
Basic control                                      | SubIndex 000                                                 | 2002-00h| 0x2a       | 0x2a       | 0x2a       | 0x2a       | 0x2a       | 0x2a
Basic control                                      | Control mode                                                 | 2002-01h| 0x0009     | 0x0009     | 0x0009     | 0x0009     | 0x0009     | 0x0009
Basic control                                      | Rotating direction                                           | 2002-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Direction of output pulse                                    | 2002-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Reverse                                                      | 2002-05h| 0x0028     | 0x0028     | 0x0028     | 0x0028     | 0x0028     | 0x0028
Basic control                                      | Stop mode at servo drive disabled                            | 2002-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Stop mode at fault 2                                         | 2002-07h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Stop mode at overtravel                                      | 2002-08h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
Basic control                                      | Stop mode at fault 1                                         | 2002-09h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Brake release command delay at servo drive enabled           | 2002-0Ah| 0x00fa     | 0x00fa     | 0x00fa     | 0x00fa     | 0x00fa     | 0x00fa
Basic control                                      | Servo drive disable delay at brake apply command             | 2002-0Bh| 0x0096     | 0x0096     | 0x0096     | 0x0096     | 0x0096     | 0x0096
Basic control                                      | Output speed limit of brake reference                        | 2002-0Ch| 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e
Basic control                                      | Waiting time from servo disable signal to brake apply command | 2002-0Dh| 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4     | 0x01f4
Basic control                                      | Display of keypad warning                                    | 2002-10h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Allowed minimum  braking resistance                          | 2002-16h| 0x0028     | 0x0028     | 0x002d     | 0x0032     | 0x0032     | 0x0032
Basic control                                      | Power of built-in  braking resistor                          | 2002-17h| 0x0032     | 0x0032     | 0x0028     | 0x0028     | 0x0028     | 0x0028
Basic control                                      | Resistance of built-in braking resistor                      | 2002-18h| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
Basic control                                      | Resistor heat dissipation coefficient                        | 2002-19h| 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e     | 0x001e
Basic control                                      | braking resistor type                                        | 2002-1Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Power of external dynamic resistor                           | 2002-1Bh| 0x0028     | 0x0028     | 0x0028     | 0x0028     | 0x0028     | 0x0028
Basic control                                      | Resistance of external braking resistor                      | 2002-1Ch| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
Basic control                                      | Parameter initialization                                     | 2002-20h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Basic control                                      | Default keypad display                                       | 2002-21h| 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032     | 0x0032
Basic control                                      | EtherCAT software version                                    | 2002-22h| 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8     | 0x0bb8
Basic control                                      | Display frequency of keypad                                  | 2002-24h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | SubIndex 000                                                 | 2003-00h| 0x24       | 0x24       | 0x24       | 0x24       | 0x24       | 0x24
Input Terminal Parameters                          | States of functions not allocated among FunIN 1–16 (HEX)     | 2003-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | States of functions not allocated among FunIN 17–32 (HEX)    | 2003-02h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI1 Function Selection                                       | 2003-03h| 0x000e     | 0x000e     | 0x000e     | 0x000e     | 0x000e     | 0x000e
Input Terminal Parameters                          | DI1 Logic Selection                                          | 2003-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI2 Function Selection                                       | 2003-05h| 0x000f     | 0x000f     | 0x000f     | 0x000f     | 0x000f     | 0x000f
Input Terminal Parameters                          | DI2 Logic Selection                                          | 2003-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Input Terminal Parameters                          | DI3 Function Selection                                       | 2003-07h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
